Country Code,ISO3,Country Name eng,Country Name fr,Unnamed: 4,Region,Income_Group
165.0,PAK,Pakistan,Pakistan,,Asie du Sud,"Revenu intermédiaire, tranche inférieure"
166.0,PAN,Panama,Panama,,,Revenu élevé
170.0,PER,Peru,Pérou,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
171.0,PHL,Philippines,Philippines,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
180.0,PLW,Palau,Palaos,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
168.0,PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
173.0,POL,Poland,Pologne,,,Revenu élevé
,PRE,,de Pré-dividende démographique,,,Agrégats
177.0,PRI,Puerto Rico,Porto Rico,,,Revenu élevé
116.0,PRK,Democratic People's Republic of Korea,"Corée, République démocratique de",,Asie de l’Est et Pacifique (hors revenu élevé),Faible revenu
174.0,PRT,Portugal,Portugal,,,Revenu élevé
169.0,PRY,Paraguay,Paraguay,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
299.0,PSE,Palestine,Cisjordanie et Gaza,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,PSS,,Petits états insulaires du Pacifique,,,Agrégats
,PST,,de Post-dividende démographique,,,Agrégats
70.0,PYF,French Polynesia,Polynésie française,,,Revenu élevé
179.0,QAT,Qatar,Qatar,,,Revenu élevé
183.0,ROU,Romania,Roumanie,,,Revenu élevé
185.0,RUS,Russian Federation,Fédération de Russie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
184.0,RWA,Rwanda,Rwanda,,Afrique subsaharienne (hors revenu élevé),Faible revenu
,SAS,,Asie du Sud,,,Agrégats
194.0,SAU,Saudi Arabia,Arabie saoudite,,,Revenu élevé
276.0,SDN,Sudan,Soudan,,Afrique subsaharienne (hors revenu élevé),Faible revenu
195.0,SEN,Senegal,Sénégal,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
200.0,SGP,Singapore,Singapour,,,Revenu élevé
25.0,SLB,Solomon Islands,Îles Salomon,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
197.0,SLE,Sierra Leone,Sierra Leone,,Afrique subsaharienne (hors revenu élevé),Faible revenu
60.0,SLV,El Salvador,El Salvador,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
192.0,SMR,San Marino,Saint-Marin,,,Revenu élevé
201.0,SOM,Somalia,Somalie,,Afrique subsaharienne (hors revenu élevé),Faible revenu
272.0,SRB,Serbia,Serbie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,SSA,,Afrique subsaharienne (hors revenu élevé),,,Agrégats
277.0,SSD,South Sudan,Soudan du Sud,,Afrique subsaharienne (hors revenu élevé),Faible revenu
,SSF,,Afrique subsaharienne,,,Agrégats
,SST,,Petits états,,,Agrégats
193.0,STP,Sao Tome and Principe,Sao Tomé-et-Principe,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
207.0,SUR,Suriname,Suriname,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
199.0,SVK,Slovakia,République slovaque,,,Revenu élevé
198.0,SVN,Slovenia,Slovénie,,,Revenu élevé
210.0,SWE,Sweden,Suède,,,Revenu élevé
209.0,SWZ,Eswatini,Eswatini,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
280.0,SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),,,Revenu élevé
196.0,SYC,Seychelles,Seychelles,,,Revenu élevé
212.0,SYR,Syrian Arab Republic,République arabe syrienne,,Afrique du Nord et Moyen-Orient (hors revenu élevé),Faible revenu
224.0,TCA,Turks and Caicos Islands,Îles Turques-et-Caïques,,,Revenu élevé
39.0,TCD,Chad,Tchad,,Afrique subsaharienne (hors revenu élevé),Faible revenu
,TEA,,Asie de l’Est et Pacifique (BIRD et IDA),,,Agrégats
,TEC,,Europe et Asie centrale (BIRD et IDA),,,Agrégats
217.0,TGO,Togo,Togo,,Afrique subsaharienne (hors revenu élevé),Faible revenu
216.0,THA,Thailand,Thaïlande,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
208.0,TJK,Tajikistan,Tadjikistan,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
213.0,TKM,Turkmenistan,Turkménistan,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,TLA,,Amérique latine et Caraïbes (BIRD et IDA),,,Agrégats
176.0,TLS,Timor-Leste,Timor-Leste,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,TMN,,Afrique du Nord et Moyen-Orient (BIRD et IDA),,,Agrégats
219.0,TON,Tonga,Tonga,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,TSA,,Asie du Sud (BIRD et IDA),,,Agrégats
,TSS,,Afrique subsaharienne (BIRD et IDA),,,Agrégats
220.0,TTO,Trinidad and Tobago,Trinité-et-Tobago,,,Revenu élevé
222.0,TUN,Tunisia,Tunisie,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
223.0,TUR,Turkey,Turquie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
227.0,TUV,Tuvalu,Tuvalu,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
215.0,TZA,United Republic of Tanzania,Tanzanie,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
226.0,UGA,Uganda,Ouganda,,Afrique subsaharienne (hors revenu élevé),Faible revenu
230.0,UKR,Ukraine,Ukraine,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,UMC,,"Revenu intermédiaire, tranche supérieure",,,Agrégats
234.0,URY,Uruguay,Uruguay,,,Revenu élevé
231.0,USA,United States of America,États-Unis,,,Revenu élevé
235.0,UZB,Uzbekistan,Ouzbékistan,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
191.0,VCT,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
236.0,VEN,Venezuela (Bolivarian Republic of),Venezuela,,,Non classifié
239.0,VGB,British Virgin Islands,Îles Vierges britanniques,,,Revenu élevé
240.0,VIR,United States Virgin Islands,Îles Vierges (EU),,,Revenu élevé
237.0,VNM,Viet Nam,Viet Nam,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
155.0,VUT,Vanuatu,Vanuatu,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,WLD,,Monde,,,Agrégats
244.0,WSM,Samoa,Samoa,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,XKX,,Kosovo,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
249.0,YEM,Yemen,"Yémen, Rép. du",,Afrique du Nord et Moyen-Orient (hors revenu élevé),Faible revenu
202.0,ZAF,South Africa,Afrique du Sud,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
251.0,ZMB,Zambia,Zambie,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
181.0,ZWE,Zimbabwe,Zimbabwe,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
